                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.7821,                 1.1198,                 1.4487,                0.62625,                0.67436,                0.67273,                0.35177,                 1.7892,                  1.238,                 1.5367,               0.045632,               0.045632,               0.045632
                     99,                 1.8461,                 1.1332,                 1.4796,                0.59651,                0.46879,                0.58617,                0.26967,                 2.0938,                 1.4193,                 1.7525,               0.045544,               0.045544,               0.045544
                    100,                 1.7425,                 1.1052,                 1.4065,                0.76679,                0.64159,                0.73647,                0.38088,                  1.676,                 1.1979,                 1.4388,               0.045454,               0.045454,               0.045454
                    101,                 1.7144,                 1.1028,                 1.3809,                0.73683,                0.71706,                0.78509,                0.38219,                  1.716,                 1.2608,                 1.4525,               0.045364,               0.045364,               0.045364
                    102,                 1.7136,                 1.0857,                 1.3518,                0.79271,                0.74622,                0.83527,                0.47098,                 1.5855,                 1.2311,                 1.3972,               0.045273,               0.045273,               0.045273
                    103,                 1.7126,                  1.055,                 1.3283,                0.80295,                 0.7561,                0.82227,                0.41853,                 1.7445,                 1.4017,                 1.4656,               0.045181,               0.045181,               0.045181
                    104,                 1.9515,                  1.148,                  1.438,                0.84568,                0.60152,                  0.777,                0.39369,                 1.9665,                 1.6888,                 1.6159,               0.045089,               0.045089,               0.045089
                    105,                 1.7673,                  1.067,                 1.3537,                0.86435,                0.58537,                0.73433,                0.33408,                   2.07,                 1.5888,                 1.6293,               0.044995,               0.044995,               0.044995
                    106,                 1.7266,                 1.0357,                 1.3375,                0.79018,                0.58537,                0.72711,                0.37736,                  1.775,                 1.1626,                 1.5148,               0.044901,               0.044901,               0.044901
                    107,                 1.7437,                 1.1275,                  1.385,                0.83752,                0.57317,                0.72278,                0.36536,                 1.8544,                 1.2044,                 1.5697,               0.044806,               0.044806,               0.044806
                    108,                 1.7015,                 1.0518,                 1.3355,                0.81041,                0.67773,                0.78848,                0.39836,                 1.7574,                 1.2482,                 1.4836,               0.044711,               0.044711,               0.044711
                    109,                 1.6431,                 1.0019,                 1.3216,                0.86668,                0.64634,                0.81437,                 0.4621,                 1.6367,                 1.1034,                 1.4751,               0.044614,               0.044614,               0.044614
                    110,                 1.6601,                 1.0169,                 1.3297,                0.85761,                0.76829,                0.84946,                0.49783,                 1.5386,                 1.2434,                 1.4425,               0.044517,               0.044517,               0.044517
                    111,                 1.6616,                  1.017,                 1.2984,                0.83721,                 0.7561,                0.82636,                 0.4683,                 1.6139,                  1.385,                 1.4687,               0.044419,               0.044419,               0.044419
                    112,                  1.659,                0.99975,                 1.3106,                0.89666,                0.67073,                0.81574,                0.45609,                 1.6852,                  1.287,                 1.4595,                0.04432,                0.04432,                0.04432
                    113,                 1.7143,                 1.0316,                 1.3611,                0.80779,                0.60976,                0.77485,                0.40613,                 1.7921,                 1.2832,                 1.4935,               0.044221,               0.044221,               0.044221
                    114,                 1.6838,                 1.0153,                 1.3623,                0.84333,                0.60976,                0.75427,                0.37839,                 1.8768,                  1.537,                 1.5008,                0.04412,                0.04412,                0.04412
                    115,                 1.7124,                 1.0023,                 1.3123,                0.76524,                0.71951,                0.78259,                0.38117,                  1.873,                 1.5091,                 1.4808,               0.044019,               0.044019,               0.044019
                    116,                 1.6661,                0.99004,                 1.3201,                0.83154,                0.59756,                0.75384,                0.37478,                 1.8937,                 1.2336,                 1.5032,               0.043918,               0.043918,               0.043918
                    117,                 1.6443,                 1.0063,                 1.3094,                0.79982,                0.60976,                  0.743,                0.37043,                 1.8224,                 1.2919,                 1.4766,               0.043815,               0.043815,               0.043815
                    118,                 1.5661,                  1.014,                 1.3497,                0.79982,                0.60976,                  0.743,                0.37043,                 3.4945,                   6.57,                 2.2903,               0.043712,               0.043712,               0.043712
                    119,                 1.6373,                 1.0324,                 1.2905,                0.79982,                0.60976,                  0.743,                0.37043,                 3.5022,                 6.4444,                 2.9616,               0.043608,               0.043608,               0.043608
                    120,                 1.5835,                0.96256,                  1.248,                0.45833,                0.53659,                0.48849,                0.22237,                 2.1006,                 3.5063,                 1.6422,               0.043503,               0.043503,               0.043503
                    121,                  1.523,                0.93914,                  1.278,                0.71283,                0.27254,                0.44579,                0.16655,                 2.1327,                 2.7461,                 1.7715,               0.043398,               0.043398,               0.043398
                    122,                 1.5471,                0.95481,                  1.282,                0.90989,                0.73892,                0.87576,                0.48071,                 1.7322,                 1.3638,                 1.4078,               0.043292,               0.043292,               0.043292
                    123,                 1.6022,                0.96922,                 1.2593,                 0.8811,                0.78049,                0.87548,                0.46045,                 1.7783,                 1.2628,                 1.3979,               0.043185,               0.043185,               0.043185
                    124,                 1.6226,                 1.0058,                 1.3157,                0.88928,                0.69512,                0.81349,                0.45582,                 1.6414,                 1.2095,                 1.3978,               0.043078,               0.043078,               0.043078
                    125,                 1.5878,                0.96176,                 1.2812,                0.86259,                0.67073,                 0.8317,                0.48905,                 1.5655,                 1.1354,                 1.3567,               0.042969,               0.042969,               0.042969
                    126,                 1.5116,                0.89624,                 1.2609,                 0.8749,                 0.7439,                0.86323,                0.47976,                 1.6894,                0.99029,                  1.348,               0.042861,               0.042861,               0.042861
                    127,                 1.5569,                0.94285,                 1.2624,                  0.819,                 0.7726,                0.84623,                0.46257,                 1.7691,                 1.0378,                 1.4013,               0.042751,               0.042751,               0.042751
                    128,                 1.5845,                0.94631,                 1.2516,                0.82991,                0.79268,                0.85599,                0.48132,                 1.6545,                 1.0469,                 1.3324,               0.042641,               0.042641,               0.042641
                    129,                  1.531,                0.95467,                 1.2667,                0.84749,                0.79268,                0.86762,                0.50257,                 1.5965,                0.98408,                  1.317,                0.04253,                0.04253,                0.04253
                    130,                  1.503,                0.96083,                 1.2768,                0.87138,                0.71951,                0.85889,                0.52875,                 1.5454,                 1.1813,                 1.3028,               0.042418,               0.042418,               0.042418
                    131,                 1.4881,                0.88245,                 1.2204,                0.90378,                0.68732,                0.84947,                0.50714,                  1.621,                 1.5419,                 1.3295,               0.042306,               0.042306,               0.042306
                    132,                 1.5206,                0.90527,                 1.2552,                0.95764,                0.55138,                0.81855,                0.43207,                 1.8762,                 1.9556,                 1.4822,               0.042193,               0.042193,               0.042193
                    133,                 1.5936,                0.89613,                 1.2862,                0.89814,                 0.4878,                0.75907,                 0.3654,                 1.9655,                 1.9391,                 1.5311,               0.042079,               0.042079,               0.042079
                    134,                 1.5048,                0.89081,                 1.2452,                0.69303,                0.68293,                0.64262,                0.35097,                 1.6257,                 1.0695,                 1.3293,               0.041964,               0.041964,               0.041964
                    135,                 1.5435,                0.90544,                 1.2324,                 0.8869,                0.71951,                0.84882,                0.49561,                 1.5791,                0.95702,                 1.3011,               0.041849,               0.041849,               0.041849
                    136,                 1.4642,                0.88292,                 1.2277,                0.79291,                 0.7439,                0.83159,                 0.4739,                 1.6402,                 1.1122,                 1.3702,               0.041734,               0.041734,               0.041734
                    137,                 1.4401,                0.83866,                 1.2199,                0.82514,                0.73171,                 0.8339,                0.46721,                  1.684,                 1.3072,                 1.4108,               0.041617,               0.041617,               0.041617
                    138,                 1.4754,                 0.8426,                 1.2296,                0.57391,                0.80488,                0.79708,                0.44656,                 1.7624,                 2.4626,                 1.4517,                 0.0415,                 0.0415,                 0.0415
                    139,                 1.5117,                0.90614,                 1.2409,                0.46154,                0.80488,                0.74047,                0.39276,                 1.8404,                 2.3037,                 1.5223,               0.041383,               0.041383,               0.041383
                    140,                 1.4451,                0.86911,                 1.2302,                0.85642,                 0.7439,                0.85165,                0.47376,                  1.717,                 1.1866,                 1.4119,               0.041265,               0.041265,               0.041265
                    141,                 1.4451,                0.81536,                 1.2165,                0.89024,                0.73171,                0.86335,                 0.5228,                 1.5544,                 1.1038,                 1.3857,               0.041146,               0.041146,               0.041146
                    142,                  1.495,                0.84832,                 1.2385,                0.87981,                0.80344,                0.86852,                0.47972,                 1.6614,                0.91189,                 1.3635,               0.041026,               0.041026,               0.041026
                    143,                 1.4817,                0.83436,                 1.2251,                0.85197,                0.73171,                0.86853,                0.50382,                    1.6,                0.98174,                  1.368,               0.040906,               0.040906,               0.040906
                    144,                 1.5079,                0.84728,                 1.2538,                0.55293,                0.62195,                0.64884,                0.33366,                 1.8462,                 1.5528,                 1.5781,               0.040785,               0.040785,               0.040785
                    145,                 1.4993,                0.88076,                 1.2616,                0.61611,                0.62195,                0.66002,                0.33541,                 1.8878,                 1.6479,                 1.5479,               0.040664,               0.040664,               0.040664
                    146,                 1.4722,                0.87196,                 1.1889,                0.88891,                 0.7439,                0.85436,                0.48807,                 1.6116,                 1.2255,                 1.3388,               0.040542,               0.040542,               0.040542
                    147,                 1.4514,                0.87615,                 1.2158,                0.87503,                0.76851,                 0.8793,                0.49789,                 1.6311,                 1.0666,                 1.3415,               0.040419,               0.040419,               0.040419
                    148,                 1.4509,                0.85099,                 1.1922,                0.81459,                0.81707,                0.87113,                0.45691,                 1.7538,                 1.0326,                 1.3571,               0.040296,               0.040296,               0.040296
                    149,                 1.4606,                0.82517,                 1.2131,                0.85213,                0.63253,                0.77944,                0.39214,                 1.9056,                 1.1498,                 1.4525,               0.040173,               0.040173,               0.040173
                    150,                 1.4583,                0.86337,                 1.2014,                0.87603,                 0.7561,                0.83195,                0.45441,                 1.7306,                 1.2303,                 1.3286,               0.040048,               0.040048,               0.040048
                    151,                 1.4075,                0.83687,                 1.1989,                0.85496,                 0.7439,                0.79664,                0.43808,                  1.772,                 1.6213,                  1.366,               0.039923,               0.039923,               0.039923
                    152,                 1.4158,                0.81289,                  1.212,                0.73434,                0.50569,                0.58012,                0.19012,                 2.4289,                 2.1117,                 1.6625,               0.039798,               0.039798,               0.039798
                    153,                 1.4001,                0.80575,                 1.2265,                0.65094,                0.46341,                0.57094,                0.20531,                  2.204,                 1.9872,                 1.6358,               0.039672,               0.039672,               0.039672
